ds,yhat,yhat_lower,yhat_upper
2018-03-14,31645.646,27185.513671875,33355.3568359375
2018-03-15,31433.246,25242.16220703125,33355.3568359375
2018-03-16,30583.7,24626.25302734375,33132.33984375
2018-03-17,29097.006,25465.18125,32930.58359375
2018-03-18,27928.86,23766.089453125,32707.564453125
2018-03-19,29415.578,23999.69921875,33142.959765625
2018-03-20,31220.873,26760.740234375,33344.73828125
2018-03-21,31114.672,25274.01953125,33355.3568359375
2018-03-22,29627.965,23989.0806640625,33132.33984375
2018-03-23,29309.379,23564.30908203125,33142.959765625
2018-03-24,28672.232,23787.328125,33355.3568359375
2018-03-25,29097.006,23999.69921875,33142.959765625
2018-03-26,30052.738,25263.40087890625,33344.73828125
2018-03-27,30265.125,23787.328125,33981.8828125
2018-03-28,30265.125,25879.33466796875,33567.7294921875
2018-03-29,30158.926,24212.1015625,33567.7294921875
2018-03-30,29309.379,23989.0806640625,33567.7294921875
2018-03-31,29097.006,24626.25302734375,33153.578320312496
2018-04-01,28990.805,23776.70810546875,33142.959765625
2018-04-02,29309.393,24626.25302734375,33355.3568359375
2018-04-03,30052.738,23787.328125,33142.959765625
2018-04-04,29097.006,25274.01953125,33344.73828125
2018-04-05,29415.578,24190.862890625,33355.3568359375
2018-04-06,28884.605,23574.927734375,33344.73828125
2018-04-07,28459.832,23999.69921875,33132.33984375
2018-04-08,28459.832,23362.5546875,33132.33984375
2018-04-09,28990.805,23362.5546875,33164.198437499996
2018-04-10,28990.805,22937.78125,33365.976953125
2018-04-11,29097.006,24392.6154296875,33769.51171875
2018-04-12,28884.605,24636.873046875,33355.3568359375
2018-04-13,28459.832,23362.5546875,32930.58359375
2018-04-14,28459.832,23150.154296875,32718.18447265625
2018-04-15,28566.031,22937.78125,32760.661816406246
2018-04-16,28672.232,23139.53564453125,33355.3568359375
2018-04-17,28566.031,23564.30908203125,33344.73828125
2018-04-18,29097.006,23776.70810546875,33153.578320312496
2018-04-19,28884.605,24403.233984375,32919.96484375
2018-04-20,28459.832,23755.46943359375,33132.33984375
2018-04-21,28672.232,23776.70810546875,33567.7294921875
2018-04-22,28566.031,23351.93466796875,33132.33984375
2018-04-23,28672.232,23574.927734375,32728.80322265625
2018-04-24,29097.006,23564.30908203125,33557.109375
2018-04-25,28884.605,23766.089453125,32930.58359375
2018-04-26,28247.432,23128.915625,33132.33984375
2018-04-27,28672.232,23989.0806640625,33355.3568359375
2018-04-28,28778.418,23776.70810546875,33132.33984375
2018-04-29,28672.232,23967.8419921875,32919.96484375
2018-04-30,28566.031,24212.1015625,31879.25625
2018-05-01,28672.232,23744.85078125,32293.41103515625
2018-05-02,28672.232,23150.154296875,32516.430078125
2018-05-03,28247.432,23362.5546875,33132.33984375
2018-05-04,28353.633,23362.5546875,33142.959765625
2018-05-05,28672.232,23351.93466796875,33153.578320312496
2018-05-06,28884.605,24413.8541015625,32930.58359375
2018-05-07,28990.805,24413.8541015625,33567.7294921875
2018-05-08,28672.232,23574.927734375,33355.3568359375
2018-05-09,28884.605,23351.93466796875,33355.3568359375
2018-05-10,28884.605,23362.5546875,32951.8220703125
2018-05-11,28884.605,23776.70810546875,33344.73828125
2018-05-12,28459.832,23139.53564453125,33142.959765625
2018-05-13,28884.605,23776.70810546875,33132.33984375
2018-05-14,28990.805,24392.6154296875,33355.3568359375
2018-05-15,29097.006,23766.089453125,33344.73828125
2018-05-16,28990.805,23787.328125,33355.3568359375
2018-05-17,28917.328,28492.07421875,29129.96875
2018-05-18,28917.328,28481.44208984375,29129.96875
2018-05-19,28917.328,28268.8009765625,29129.96875
2018-05-20,28917.328,28279.431640625,29129.96875
2018-05-21,28917.328,28481.44208984375,29129.96875
2018-05-22,28917.328,28492.07421875,29140.5994140625
