ds,y_true,y_pred,error,month
2018-03-14,31469.0,31645.646,176.646484375,3
2018-03-15,31218.0,31433.246,215.24609375,3
2018-03-16,30801.0,30583.7,217.30078125,3
2018-03-17,28240.0,29097.006,857.005859375,3
2018-03-18,26073.0,27928.86,1855.859375,3
2018-03-19,30924.0,29415.578,1508.421875,3
2018-03-20,32996.0,31220.873,1775.126953125,3
2018-03-21,32814.0,31114.672,1699.328125,3
2018-03-22,32333.0,29627.965,2705.03515625,3
2018-03-23,32205.0,29309.379,2895.62109375,3
2018-03-24,29095.0,28672.232,422.767578125,3
2018-03-25,26660.0,29097.006,2437.005859375,3
2018-03-26,30728.0,30052.738,675.26171875,3
2018-03-27,30370.0,30265.125,104.875,3
2018-03-28,29186.0,30265.125,1079.125,3
2018-03-29,25912.0,30158.926,4246.92578125,3
2018-03-30,24300.0,29309.379,5009.37890625,3
2018-03-31,25150.0,29097.006,3947.005859375,3
2018-04-01,29851.0,28990.805,860.1953125,4
2018-04-02,28498.0,29309.393,811.392578125,4
2018-04-03,26287.0,30052.738,3765.73828125,4
2018-04-04,29824.0,29097.006,726.994140625,4
2018-04-05,28604.0,29415.578,811.578125,4
2018-04-06,27417.0,28884.605,1467.60546875,4
2018-04-07,31018.0,28459.832,2558.16796875,4
2018-04-08,30018.0,28459.832,1558.16796875,4
2018-04-09,31481.0,28990.805,2490.1953125,4
2018-04-10,29218.0,28990.805,227.1953125,4
2018-04-11,24738.0,29097.006,4359.005859375,4
2018-04-12,30784.0,28884.605,1899.39453125,4
2018-04-13,30728.0,28459.832,2268.16796875,4
2018-04-14,26806.0,28459.832,1653.83203125,4
2018-04-15,24652.0,28566.031,3914.03125,4
2018-04-16,29074.0,28672.232,401.767578125,4
2018-04-17,29135.0,28566.031,568.96875,4
2018-04-18,28801.0,29097.006,296.005859375,4
2018-04-19,28391.0,28884.605,493.60546875,4
2018-04-20,28143.0,28459.832,316.83203125,4
2018-04-21,25284.0,28672.232,3388.232421875,4
2018-04-22,23254.0,28566.031,5312.03125,4
2018-04-23,27187.0,28672.232,1485.232421875,4
2018-04-24,28296.0,29097.006,801.005859375,4
2018-04-25,28526.0,28884.605,358.60546875,4
2018-04-26,28297.0,28247.432,49.568359375,4
2018-04-27,28136.0,28672.232,536.232421875,4
2018-04-28,25149.0,28778.418,3629.41796875,4
2018-04-29,23218.0,28672.232,5454.232421875,4
2018-04-30,25774.0,28566.031,2792.03125,4
2018-05-01,28677.0,28672.232,4.767578125,5
2018-05-02,33848.0,28672.232,5175.767578125,5
2018-05-03,31553.0,28247.432,3305.568359375,5
2018-05-04,29213.0,28353.633,859.3671875,5
2018-05-05,25504.0,28672.232,3168.232421875,5
2018-05-06,27721.0,28884.605,1163.60546875,5
2018-05-07,30850.0,28990.805,1859.1953125,5
2018-05-08,27835.0,28672.232,837.232421875,5
2018-05-09,31148.0,28884.605,2263.39453125,5
2018-05-10,28825.0,28884.605,59.60546875,5
2018-05-11,29813.0,28884.605,928.39453125,5
2018-05-12,30549.0,28459.832,2089.16796875,5
2018-05-13,23331.0,28884.605,5553.60546875,5
2018-05-14,27564.0,28990.805,1426.8046875,5
2018-05-15,27987.0,29097.006,1110.005859375,5
2018-05-16,28564.0,28990.805,426.8046875,5
2018-05-17,28383.0,28917.328,534.328125,5
2018-05-18,28169.0,28917.328,748.328125,5
2018-05-19,25281.0,28917.328,3636.328125,5
2018-05-20,23172.0,28917.328,5745.328125,5
2018-05-21,27068.0,28917.328,1849.328125,5
2018-05-22,28219.0,28917.328,698.328125,5
2018-05-23,28628.0,28917.328,289.328125,5
2018-05-24,28639.0,28917.328,278.328125,5
2018-05-25,28386.0,28704.715,318.71484375,5
2018-05-26,25209.0,28704.715,3495.71484375,5
2018-05-27,23089.0,28917.328,5828.328125,5
2018-05-28,27511.0,28917.328,1406.328125,5
2018-05-29,28279.0,28704.715,425.71484375,5
2018-05-30,28063.0,28917.328,854.328125,5
2018-05-31,27795.0,28917.328,1122.328125,5
2018-06-01,25265.0,28811.021,3546.021484375,6
2018-06-02,34328.0,28704.715,5623.28515625,6
2018-06-03,32227.0,28917.328,3309.671875,6
2018-06-04,29443.0,28917.328,525.671875,6
2018-06-05,23287.0,28917.328,5630.328125,6
2018-06-06,28156.0,28917.328,761.328125,6
2018-06-07,30700.0,28917.328,1782.671875,6
2018-06-08,32708.0,28917.328,3790.671875,6
2018-06-09,30449.0,28917.328,1531.671875,6
2018-06-10,25754.0,28917.328,3163.328125,6
2018-06-11,30505.0,28811.021,1693.978515625,6
2018-06-12,26759.0,28917.328,2158.328125,6
2018-06-13,28898.0,28917.328,19.328125,6
2018-06-14,28953.0,28917.328,35.671875,6
2018-06-15,28894.0,28917.328,23.328125,6
2018-06-16,26296.0,28917.328,2621.328125,6
2018-06-17,24326.0,28704.715,4378.71484375,6
2018-06-18,29201.0,28704.715,496.28515625,6
2018-06-19,30203.0,28811.021,1391.978515625,6
2018-06-20,30805.0,28917.328,1887.671875,6
2018-06-21,31192.0,28704.715,2487.28515625,6
2018-06-22,31215.0,28811.021,2403.978515625,6
2018-06-23,28064.0,28704.715,640.71484375,6
2018-06-24,25916.0,28917.328,3001.328125,6
2018-06-25,30948.0,28917.328,2030.671875,6
2018-06-26,31728.0,28917.328,2810.671875,6
2018-06-27,31590.0,28917.328,2672.671875,6
2018-06-28,31216.0,28917.328,2298.671875,6
2018-06-29,30629.0,28811.021,1817.978515625,6
2018-06-30,27716.0,28917.328,1201.328125,6
2018-07-01,26717.0,28917.328,2200.328125,7
2018-07-02,34667.0,28917.328,5749.671875,7
2018-07-03,31891.0,28917.328,2973.671875,7
2018-07-04,26775.0,28704.715,1929.71484375,7
2018-07-05,27797.0,28811.021,1014.021484375,7
2018-07-06,28024.0,28704.715,680.71484375,7
2018-07-07,27744.0,28704.715,960.71484375,7
2018-07-08,32800.0,28704.715,4095.28515625,7
2018-07-09,29955.0,28704.715,1250.28515625,7
2018-07-10,23695.0,28811.021,5116.021484375,7
2018-07-11,30595.0,28811.021,1783.978515625,7
2018-07-12,27961.0,28704.715,743.71484375,7
2018-07-13,31520.0,28704.715,2815.28515625,7
2018-07-14,28080.0,28704.715,624.71484375,7
2018-07-15,25557.0,28704.715,3147.71484375,7
2018-07-16,30273.0,28704.715,1568.28515625,7
2018-07-17,31506.0,28704.715,2801.28515625,7
2018-07-18,31924.0,28704.715,3219.28515625,7
2018-07-19,32012.0,28704.715,3307.28515625,7
2018-07-20,31460.0,28634.215,2825.78515625,7
2018-07-21,27580.0,28634.215,1054.21484375,7
2018-07-22,25042.0,28634.215,3592.21484375,7
2018-07-23,30751.0,28634.215,2116.78515625,7
2018-07-24,31835.0,28634.215,3200.78515625,7
2018-07-25,31399.0,28634.215,2764.78515625,7
2018-07-26,31823.0,28634.215,3188.78515625,7
2018-07-27,31683.0,28634.215,3048.78515625,7
2018-07-28,28386.0,28634.215,248.21484375,7
2018-07-29,25864.0,28634.215,2770.21484375,7
2018-07-30,30746.0,28634.215,2111.78515625,7
2018-07-31,31546.0,28634.215,2911.78515625,7
2018-08-01,32610.0,28634.215,3975.78515625,8
2018-08-02,35004.0,28634.215,6369.78515625,8
2018-08-03,31598.0,28634.215,2963.78515625,8
2018-08-04,24695.0,28634.215,3939.21484375,8
2018-08-05,28446.0,28634.215,188.21484375,8
2018-08-06,28089.0,28634.215,545.21484375,8
2018-08-07,25662.0,28634.215,2972.21484375,8
2018-08-08,31978.0,28634.215,3343.78515625,8
2018-08-09,26280.0,28634.215,2354.21484375,8
2018-08-10,27637.0,28634.215,997.21484375,8
2018-08-11,30781.0,28634.215,2146.78515625,8
2018-08-12,26147.0,28634.215,2487.21484375,8
2018-08-13,29362.0,28634.215,727.78515625,8
2018-08-14,29180.0,28634.215,545.78515625,8
2018-08-15,26104.0,28634.215,2530.21484375,8
2018-08-16,28644.0,28634.215,9.78515625,8
2018-08-17,28053.0,28634.215,581.21484375,8
2018-08-18,25615.0,28634.215,3019.21484375,8
2018-08-19,24393.0,28634.215,4241.21484375,8
2018-08-20,29087.0,28634.215,452.78515625,8
2018-08-21,30259.0,28634.215,1624.78515625,8
2018-08-22,30681.0,28634.215,2046.78515625,8
2018-08-23,30627.0,28634.215,1992.78515625,8
2018-08-24,30323.0,28634.215,1688.78515625,8
2018-08-25,27161.0,28634.215,1473.21484375,8
2018-08-26,25141.0,28634.215,3493.21484375,8
2018-08-27,30860.0,28634.215,2225.78515625,8
2018-08-28,31881.0,28634.215,3246.78515625,8
2018-08-29,31719.0,28634.215,3084.78515625,8
2018-08-30,31624.0,28634.215,2989.78515625,8
2018-08-31,31238.0,28634.215,2603.78515625,8
2018-09-01,34064.0,28634.215,5429.78515625,9
2018-09-02,34646.0,28634.215,6011.78515625,9
2018-09-03,31202.0,28634.215,2567.78515625,9
2018-09-04,29390.0,28634.215,755.78515625,9
2018-09-05,28403.0,28634.215,231.21484375,9
2018-09-06,25154.0,28634.215,3480.21484375,9
2018-09-07,31490.0,28634.215,2855.78515625,9
2018-09-08,30961.0,28634.215,2326.78515625,9
2018-09-09,24247.0,28634.215,4387.21484375,9
2018-09-10,27934.0,28634.215,700.21484375,9
2018-09-11,30258.0,28634.215,1623.78515625,9
2018-09-12,25421.0,28634.215,3213.21484375,9
2018-09-13,30888.0,28634.215,2253.78515625,9
2018-09-14,30641.0,28634.215,2006.78515625,9
2018-09-15,26768.0,28634.215,1866.21484375,9
2018-09-16,24780.0,28634.215,3854.21484375,9
2018-09-17,29920.0,28634.215,1285.78515625,9
2018-09-18,30556.0,28634.215,1921.78515625,9
2018-09-19,30855.0,28634.215,2220.78515625,9
2018-09-20,31077.0,28634.215,2442.78515625,9
2018-09-21,30913.0,28634.215,2278.78515625,9
2018-09-22,27693.0,28710.367,1017.3671875,9
2018-09-23,25698.0,28710.367,3012.3671875,9
2018-09-24,30442.0,28710.367,1731.6328125,9
2018-09-25,30764.0,28710.367,2053.6328125,9
2018-09-26,30471.0,28710.367,1760.6328125,9
2018-09-27,30084.0,28710.367,1373.6328125,9
2018-09-28,29747.0,28710.367,1036.6328125,9
2018-09-29,26319.0,28710.367,2391.3671875,9
2018-09-30,24189.0,28710.367,4521.3671875,9
2018-10-01,33336.0,28710.367,4625.6328125,10
2018-10-02,30710.0,28710.367,1999.6328125,10
2018-10-03,27545.0,28710.367,1165.3671875,10
2018-10-04,31134.0,28710.367,2423.6328125,10
2018-10-05,28316.0,28710.367,394.3671875,10
2018-10-06,23184.0,28710.367,5526.3671875,10
2018-10-07,32295.0,28710.367,3584.6328125,10
2018-10-08,29953.0,28710.367,1242.6328125,10
2018-10-09,28459.0,28710.367,251.3671875,10
2018-10-10,28451.0,28710.367,259.3671875,10
2018-10-11,27122.0,28710.367,1588.3671875,10
2018-10-12,30486.0,28710.367,1775.6328125,10
2018-10-13,24572.0,28710.367,4138.3671875,10
2018-10-14,23395.0,28710.367,5315.3671875,10
2018-10-15,27510.0,28710.367,1200.3671875,10
2018-10-16,28364.0,28710.367,346.3671875,10
2018-10-17,28650.0,28710.367,60.3671875,10
2018-10-18,28633.0,28710.367,77.3671875,10
2018-10-19,28347.0,28710.367,363.3671875,10
2018-10-20,25190.0,28710.367,3520.3671875,10
2018-10-21,23364.0,28710.367,5346.3671875,10
2018-10-22,27725.0,28710.367,985.3671875,10
2018-10-23,28362.0,28710.367,348.3671875,10
2018-10-24,28305.0,28710.367,405.3671875,10
2018-10-25,28305.0,28710.367,405.3671875,10
2018-10-26,28355.0,28710.367,355.3671875,10
2018-10-27,25493.0,28710.367,3217.3671875,10
2018-10-28,24052.0,28710.367,4658.3671875,10
2018-10-29,29712.0,28710.367,1001.6328125,10
2018-10-30,30831.0,28710.367,2120.6328125,10
2018-10-31,30550.0,28710.367,1839.6328125,10
2018-11-01,33221.0,28710.367,4510.6328125,11
2018-11-02,27963.0,28710.367,747.3671875,11
2018-11-03,25869.0,28710.367,2841.3671875,11
2018-11-04,31319.0,28710.367,2608.6328125,11
2018-11-05,28210.0,28710.367,500.3671875,11
2018-11-06,27770.0,28710.367,940.3671875,11
2018-11-07,32136.0,28710.367,3425.6328125,11
2018-11-08,27764.0,28710.367,946.3671875,11
2018-11-09,28826.0,28710.367,115.6328125,11
2018-11-10,28337.0,28710.367,373.3671875,11
2018-11-11,24939.0,28710.367,3771.3671875,11
2018-11-12,31490.0,28710.367,2779.6328125,11
2018-11-13,29957.0,28710.367,1246.6328125,11
2018-11-14,29921.0,28710.367,1210.6328125,11
2018-11-15,29890.0,28710.367,1179.6328125,11
2018-11-16,29606.0,28710.367,895.6328125,11
2018-11-17,26370.0,28710.367,2340.3671875,11
2018-11-18,24934.0,28710.367,3776.3671875,11
2018-11-19,29791.0,28710.367,1080.6328125,11
2018-11-20,30868.0,28710.367,2157.6328125,11
2018-11-21,31035.0,28710.367,2324.6328125,11
2018-11-22,31201.0,28710.367,2490.6328125,11
2018-11-23,30991.0,28710.367,2280.6328125,11
2018-11-24,27779.0,28710.367,931.3671875,11
2018-11-25,26158.0,28684.68,2526.6796875,11
2018-11-26,30925.0,28684.68,2240.3203125,11
2018-11-27,31585.0,28684.68,2900.3203125,11
2018-11-28,31675.0,28684.68,2990.3203125,11
2018-11-29,31801.0,28684.68,3116.3203125,11
2018-11-30,31314.0,28684.68,2629.3203125,11
2018-12-01,33349.0,28684.68,4664.3203125,12
2018-12-02,32986.0,28684.68,4301.3203125,12
2018-12-03,30703.0,28684.68,2018.3203125,12
2018-12-04,30995.0,28684.68,2310.3203125,12
2018-12-05,25338.0,28684.68,3346.6796875,12
2018-12-06,28688.0,28684.68,3.3203125,12
2018-12-07,31678.0,28684.68,2993.3203125,12
2018-12-08,26123.0,28684.68,2561.6796875,12
2018-12-09,30632.0,28684.68,1947.3203125,12
2018-12-10,24441.0,28684.68,4243.6796875,12
2018-12-11,29631.0,28684.68,946.3203125,12
2018-12-12,31835.0,28684.68,3150.3203125,12
2018-12-13,32258.0,28684.68,3573.3203125,12
2018-12-14,31809.0,28684.68,3124.3203125,12
2018-12-15,28487.0,28684.68,197.6796875,12
2018-12-16,26824.0,28684.68,1860.6796875,12
2018-12-17,31781.0,28684.68,3096.3203125,12
2018-12-18,32787.0,28684.68,4102.3203125,12
2018-12-19,32167.0,28684.68,3482.3203125,12
2018-12-20,31731.0,28684.68,3046.3203125,12
2018-12-21,30594.0,28684.68,1909.3203125,12
2018-12-22,27155.0,28684.68,1529.6796875,12
2018-12-23,25481.0,28684.68,3203.6796875,12
2018-12-24,25495.0,28684.68,3189.6796875,12
2018-12-25,22338.0,28684.68,6346.6796875,12
2018-12-26,26529.0,28684.68,2155.6796875,12
2018-12-27,28532.0,28684.68,152.6796875,12
2018-12-28,28638.0,28684.68,46.6796875,12
2018-12-29,26637.0,28684.68,2047.6796875,12
2018-12-30,25264.0,28684.68,3420.6796875,12
2018-12-31,25897.0,28684.68,2787.6796875,12
