Date,Predicted_Load_MW,Lower_Bound_MW,Upper_Bound_MW
2018-03-20,29497.06012461651,25164.14719093833,34219.46663565995
2018-03-21,30142.897479159074,25850.543625727216,34012.03665012573
2018-03-22,30230.229362038444,25812.015470492268,34466.6783886425
2018-03-23,30147.748354158906,26055.46196197966,34176.26469424858
2018-03-24,28058.559171683635,23551.271581070294,32161.855423453966
2018-03-25,26547.2019138511,22343.38429539228,30831.247703293506
2018-03-26,29096.253166663846,24660.302479735485,33221.23319161463
2018-03-27,29869.570244868326,25920.883622988877,33889.60961815904
2018-03-28,30395.412570168406,25876.01536796323,34373.75649306822
2018-03-29,30097.114080648145,26174.360004149792,34328.62940316149
2018-03-30,29751.268432888235,25675.878476764767,33952.50942377513
2018-03-31,27857.166965872028,23608.549451192528,31974.2907478234
2018-04-01,26927.765824004942,22590.580451400157,31081.461731931533
2018-04-02,29983.909288065097,25867.493679804364,34316.33385750356
2018-04-03,30727.02032334012,27016.4359123679,34958.88855384892
2018-04-04,30628.214837892807,26498.14942959444,34854.167999244244
2018-04-05,29507.633416849087,25276.975704631936,33548.35597816445
2018-04-06,28643.516331627456,24250.906650595363,32949.01265720217
2018-04-07,26721.7441376248,22818.47412220285,30671.222846168024
2018-04-08,26017.285446613794,22181.041029120588,30183.15065423666
2018-04-09,29166.832388533618,24504.043805271467,33535.26145199513
2018-04-10,29720.52675412615,25634.572711612833,34205.06036041084
2018-04-11,29345.725048787022,25017.49549268202,33400.17777877166
2018-04-12,28166.123684163693,24101.773280773104,32542.6671602584
2018-04-13,27536.346186301802,23595.694975623468,31778.09889434108
2018-04-14,25907.07450292581,21616.928334158434,30296.55909626618
2018-04-15,25256.454614785674,21015.227973156907,29581.612541811093
2018-04-16,28189.508870210284,24210.270595678296,32589.700005823623
2018-04-17,28553.168589520938,24669.68352380517,32725.93415731021
2018-04-18,28359.794873884555,24206.500050361676,32616.91385285056
